symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed
HINDUNILVR__PYR1,SELL,2091.0081,2106.7,2065.8,10,0.0,CLOSED,ORB Break SELL [PYR1],11:42,-62.92,False,0.75,HINDUNILVR,1,,,,-218.04999999999984,1
HCLTECH,SELL,1375.1,1375.1,1354.5,10,0.75,CLOSED,ORB Break SELL,11:43,0.0,False,0.75,,,,,1375.1,-218.04999999999984,1
SBICARD__PYR2,SELL,680.89,686.0,674.7,10,0.0,CLOSED,ORB Break SELL [PYR2],11:47,-41.1,False,0.75,SBICARD,2,,,,-218.04999999999984,1
HDFCLIFE__PYR2,SELL,600.8805,605.4,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR2],11:57,-45.19,True,0.75,HDFCLIFE,2,,,,-218.04999999999984,1
ADANIENT__PYR3,SELL,1834.267,1833.9,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR3],12:01,110.67,True,0.75,ADANIENT,3,,,,-218.04999999999984,1
M&M,SELL,3046.6,3046.6,3000.9,10,0.75,CLOSED,ORB Break SELL,12:02,0.0,False,0.75,,,,,3046.6,-218.04999999999984,1
ALKEM,SELL,5360.0,5360.0,5279.5,10,0.75,CLOSED,ORB Break SELL,12:12,0.0,False,0.75,,,,,5360.0,-218.04999999999984,1
GODREJPROP__PYR3,SELL,1498.185,1509.4,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR3],12:17,-110.15,True,0.75,GODREJPROP,3,,,,-218.04999999999984,1
ASTRAL,SELL,1622.4,1622.4,1598.1,10,0.75,CLOSED,ORB Break SELL,12:17,0.0,False,0.75,,,,,1622.4,-218.04999999999984,1
LICI__PYR2,SELL,762.398,768.1,755.5,10,0.0,CLOSED,ORB Break SELL [PYR2],12:18,-46.02,False,0.75,LICI,2,,,,-218.04999999999984,1
PNBHOUSING,SELL,788.1,788.1,776.3,10,0.75,CLOSED,ORB Break SELL,12:20,0.0,False,0.75,,,,,788.1,-218.04999999999984,1
FORTIS__PYR2,SELL,811.5525,817.65,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR2],12:21,-60.97,True,0.75,FORTIS,2,,,,-218.04999999999984,1
ADANIPORTS__PYR4,SELL,1335.348,1345.4,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR4],12:21,-65.52,True,0.75,ADANIPORTS,4,,,,-218.04999999999984,1
MPHASIS,SELL,2105.8,2105.8,2074.2,10,0.75,CLOSED,ORB Break SELL,12:59,0.0,False,0.75,,,,,2105.8,-218.04999999999984,1
TATAELXSI,SELL,4178.0,4178.0,4115.3,10,0.75,CLOSED,ORB Break SELL,13:03,0.0,False,0.75,,,,,4178.0,-218.04999999999984,1
GLENMARK,BUY,2172.8,2172.8,2205.4,10,0.75,CLOSED,ORB Break,13:03,0.0,False,0.75,,,,,2172.8,-218.04999999999984,1
COALINDIA,BUY,447.5,447.5,454.2,10,0.75,CLOSED,ORB Break,13:17,0.0,False,0.75,,,,,447.5,-218.04999999999984,1
BRITANNIA,SELL,5547.0,5547.0,5464.0,10,0.75,CLOSED,ORB Break SELL,13:29,0.0,False,0.75,,,,,5547.0,-218.04999999999984,1
TECHM,SELL,1395.0,1395.0,1374.1,10,0.75,CLOSED,ORB Break SELL,13:30,0.0,False,0.75,,,,,1395.0,-218.04999999999984,1
AUBANK__PYR2,SELL,885.06,891.7,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR2],13:35,6.1,True,0.75,AUBANK,2,,,,-218.04999999999984,1
KFINTECH,SELL,908.75,908.75,895.1,10,0.75,CLOSED,ORB Break SELL,13:39,0.0,False,0.75,,,,,908.75,-218.04999999999984,1
ADANIENT__PYR4,SELL,1824.956,1838.6,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR4],13:58,17.56,True,0.75,ADANIENT,4,,,,-218.04999999999984,1
COFORGE,SELL,1152.0,1152.0,1134.7,10,0.75,CLOSED,ORB Break SELL,13:59,0.0,False,0.75,,,,,1152.0,-218.04999999999984,1
SBIN__PYR2,SELL,1033.857,1033.8,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR2],14:18,132.57,True,0.75,SBIN,2,,,,-218.04999999999984,1
