[2026-03-25 08:46:28] ENGINE STARTED | MODE: PAPER
[2026-03-25 09:18:00] PAPER SELL TECHM Entry:1400.2 SL:1415.9 TSL-Only

[2026-03-25 09:18:00] PAPER SELL MPHASIS Entry:2128.1 SL:2147.5 TSL-Only

[2026-03-25 09:18:59] PYRAMID Leg1 MPHASIS SELL Entry:2117.46 SL:2133.30 TSL-Only
[2026-03-25 10:02:12] MPHASIS SL HIT SELL Entry:2128.1 Exit:2127.8 NetPnL:3.00
[2026-03-25 10:15:50] PAPER BUY AUROPHARMA Entry:1312.9 SL:1303.1 Target:1332.6

[2026-03-25 10:17:26] PYRAMID Leg1 AUROPHARMA BUY Entry:1316.84 SL:1307.00 Target:1332.60
[2026-03-25 10:19:11] PAPER SELL POLICYBZR Entry:1475.8 SL:1486.9 Target:1453.7

[2026-03-25 10:28:08] PAPER BUY PREMIERENE Entry:911.2 SL:904.35 Target:924.85

[2026-03-25 10:29:48] PREMIERENE SL HIT BUY Entry:911.2 Exit:904.35 NetPnL:-68.50
[2026-03-25 10:33:14] PYRAMID Leg2 AUROPHARMA BUY Entry:1320.78 SL:1310.90 Target:1332.60
[2026-03-25 10:33:27] PAPER SELL MAXHEALTH Entry:967.3 SL:974.6 Target:952.8

[2026-03-25 10:36:54] PAPER BUY RELIANCE Entry:1422.0 SL:1411.3 Target:1443.3

[2026-03-25 10:43:02] PYRAMID Leg1 RELIANCE BUY Entry:1426.27 SL:1415.60 Target:1443.30
[2026-03-25 10:43:03] PAPER BUY SUNPHARMA Entry:1780.0 SL:1766.6 Target:1806.7

[2026-03-25 10:43:37] PAPER BUY WAAREEENER Entry:3163.0 SL:3139.3 Target:3210.4

[2026-03-25 10:52:08] PAPER SELL INDUSTOWER Entry:427.5 SL:430.7 Target:421.1

